soak begin url=http://127.0.0.1:56693/live/party/index.m3u8 label=release-273-direct target=2.000s minutes=10 print=5.0s position=0.25s build=main-2521c68 started=2026-09-16T08:22:25.959Z
soak legend latency=edge+attach edge=playlist staleness attach=distance the player chose from the live edge
soak t=270s pos=277.65s latency=2.26s edge=-0.55s attach=2.81s mode=low-latency recommended=3.00s status=ready ok
soak t=275s pos=282.65s latency=2.26s edge=-0.49s attach=2.75s mode=low-latency recommended=3.00s status=ready ok
soak t=280s pos=287.65s latency=2.26s edge=-0.43s attach=2.69s mode=low-latency recommended=3.00s status=ready ok
soak t=285s pos=292.65s latency=2.26s edge=-0.54s attach=2.80s mode=low-latency recommended=3.00s status=ready ok
soak t=290s pos=297.65s latency=2.26s edge=-0.47s attach=2.74s mode=low-latency recommended=3.00s status=ready ok
soak t=295s pos=302.65s latency=2.26s edge=-0.41s attach=2.67s mode=low-latency recommended=3.00s status=ready ok
soak t=300s pos=307.65s latency=2.26s edge=-0.52s attach=2.78s mode=low-latency recommended=3.00s status=ready ok
soak t=305s pos=312.65s latency=2.26s edge=-0.45s attach=2.72s mode=low-latency recommended=3.00s status=ready ok
soak t=310s pos=317.65s latency=2.26s edge=-0.40s attach=2.66s mode=low-latency recommended=3.00s status=ready ok
soak t=315s pos=322.65s latency=2.26s edge=-0.50s attach=2.77s mode=low-latency recommended=3.00s status=ready ok
soak t=320s pos=327.65s latency=2.26s edge=-0.44s attach=2.70s mode=low-latency recommended=3.00s status=ready ok
soak t=325s pos=332.65s latency=2.26s edge=-0.55s attach=2.81s mode=low-latency recommended=3.00s status=ready ok
soak t=330s pos=337.65s latency=2.26s edge=-0.49s attach=2.75s mode=low-latency recommended=3.00s status=ready ok
soak t=335s pos=342.65s latency=2.26s edge=-0.43s attach=2.69s mode=low-latency recommended=3.00s status=ready ok
soak t=340s pos=347.65s latency=2.26s edge=-0.54s attach=2.80s mode=low-latency recommended=3.00s status=ready ok
soak t=345s pos=352.65s latency=2.26s edge=-0.47s attach=2.74s mode=low-latency recommended=3.00s status=ready ok
soak t=350s pos=357.65s latency=2.26s edge=-0.41s attach=2.67s mode=low-latency recommended=3.00s status=ready ok
soak t=355s pos=362.66s latency=2.26s edge=-0.52s attach=2.78s mode=low-latency recommended=3.00s status=ready ok
soak t=360s pos=367.66s latency=2.26s edge=-0.45s attach=2.72s mode=low-latency recommended=3.00s status=ready ok
soak t=365s pos=372.66s latency=2.26s edge=-0.39s attach=2.65s mode=low-latency recommended=3.00s status=ready ok
soak t=370s pos=377.66s latency=2.26s edge=-0.50s attach=2.77s mode=low-latency recommended=3.00s status=ready ok
soak t=375s pos=382.66s latency=2.26s edge=-0.43s attach=2.70s mode=low-latency recommended=3.00s status=ready ok
soak t=380s pos=387.66s latency=2.26s edge=-0.54s attach=2.81s mode=low-latency recommended=3.00s status=ready ok
soak t=385s pos=392.66s latency=2.26s edge=-0.48s attach=2.75s mode=low-latency recommended=3.00s status=ready ok
soak t=390s pos=397.66s latency=2.26s edge=-0.41s attach=2.68s mode=low-latency recommended=3.00s status=ready ok
soak t=395s pos=402.66s latency=2.26s edge=-0.53s attach=2.79s mode=low-latency recommended=3.00s status=ready ok
soak t=400s pos=407.66s latency=2.26s edge=-0.46s attach=2.73s mode=low-latency recommended=3.00s status=ready ok
soak t=405s pos=412.66s latency=2.26s edge=-0.40s attach=2.67s mode=low-latency recommended=3.00s status=ready ok
soak t=410s pos=417.66s latency=2.26s edge=-0.51s attach=2.78s mode=low-latency recommended=3.00s status=ready ok
soak t=415s pos=422.66s latency=2.26s edge=-0.44s attach=2.71s mode=low-latency recommended=3.00s status=ready ok
soak t=420s pos=427.66s latency=2.26s edge=-0.54s attach=2.81s mode=low-latency recommended=3.00s status=ready ok
soak t=425s pos=432.66s latency=2.26s edge=-0.48s attach=2.75s mode=low-latency recommended=3.00s status=ready ok
soak t=430s pos=437.66s latency=2.26s edge=-0.42s attach=2.68s mode=low-latency recommended=3.00s status=ready ok
soak t=435s pos=442.66s latency=2.26s edge=-0.53s attach=2.80s mode=low-latency recommended=3.00s status=ready ok
soak t=440s pos=447.66s latency=2.26s edge=-0.46s attach=2.73s mode=low-latency recommended=3.00s status=ready ok
soak t=445s pos=452.66s latency=2.26s edge=-0.39s attach=2.66s mode=low-latency recommended=3.00s status=ready ok
soak t=450s pos=457.66s latency=2.26s edge=-0.49s attach=2.76s mode=low-latency recommended=3.00s status=ready ok
soak t=455s pos=462.66s latency=2.26s edge=-0.42s attach=2.69s mode=low-latency recommended=3.00s status=ready ok
soak t=460s pos=467.65s latency=2.26s edge=-0.53s attach=2.79s mode=low-latency recommended=3.00s status=ready ok
soak t=465s pos=472.65s latency=2.26s edge=-0.47s attach=2.74s mode=low-latency recommended=3.00s status=ready ok
soak t=470s pos=477.66s latency=2.26s edge=-0.40s attach=2.67s mode=low-latency recommended=3.00s status=ready ok
soak t=475s pos=482.66s latency=2.26s edge=-0.51s attach=2.78s mode=low-latency recommended=3.00s status=ready ok
soak t=480s pos=487.65s latency=2.26s edge=-0.46s attach=2.72s mode=low-latency recommended=3.00s status=ready ok
soak t=485s pos=492.65s latency=2.26s edge=-0.40s attach=2.66s mode=low-latency recommended=3.00s status=ready ok
soak t=490s pos=497.66s latency=2.26s edge=-0.51s attach=2.77s mode=low-latency recommended=3.00s status=ready ok
soak t=495s pos=502.65s latency=2.26s edge=-0.44s attach=2.71s mode=low-latency recommended=3.00s status=ready ok
soak t=500s pos=507.65s latency=2.26s edge=-0.55s attach=2.81s mode=low-latency recommended=3.00s status=ready ok
soak t=505s pos=512.65s latency=2.26s edge=-0.48s attach=2.75s mode=low-latency recommended=3.00s status=ready ok
soak t=510s pos=517.65s latency=2.26s edge=-0.43s attach=2.69s mode=low-latency recommended=3.00s status=ready ok
soak t=515s pos=522.66s latency=2.26s edge=-0.54s attach=2.80s mode=low-latency recommended=3.00s status=ready ok
soak t=520s pos=527.66s latency=2.26s edge=-0.48s attach=2.75s mode=low-latency recommended=3.00s status=ready ok
soak t=525s pos=532.66s latency=2.26s edge=-0.42s attach=2.68s mode=low-latency recommended=3.00s status=ready ok
soak t=530s pos=537.66s latency=2.26s edge=-0.53s attach=2.79s mode=low-latency recommended=3.00s status=ready ok
soak t=535s pos=542.66s latency=2.26s edge=-0.46s attach=2.73s mode=low-latency recommended=3.00s status=ready ok
soak t=540s pos=547.66s latency=2.26s edge=-0.40s attach=2.67s mode=low-latency recommended=3.00s status=ready ok
soak t=545s pos=552.66s latency=2.26s edge=-0.51s attach=2.78s mode=low-latency recommended=3.00s status=ready ok
soak t=550s pos=557.66s latency=2.26s edge=-0.45s attach=2.72s mode=low-latency recommended=3.00s status=ready ok
soak t=555s pos=562.66s latency=2.26s edge=-0.39s attach=2.65s mode=low-latency recommended=3.00s status=ready ok
soak t=560s pos=567.66s latency=2.26s edge=-0.50s attach=2.76s mode=low-latency recommended=3.00s status=ready ok
soak t=565s pos=572.66s latency=2.26s edge=-0.43s attach=2.70s mode=low-latency recommended=3.00s status=ready ok
soak t=570s pos=577.66s latency=2.26s edge=-0.54s attach=2.81s mode=low-latency recommended=3.00s status=ready ok
soak t=575s pos=582.66s latency=2.26s edge=-0.48s attach=2.75s mode=low-latency recommended=3.00s status=ready ok
soak t=580s pos=587.66s latency=2.26s edge=-0.43s attach=2.69s mode=low-latency recommended=3.00s status=ready ok
soak t=585s pos=592.66s latency=2.26s edge=-0.53s attach=2.80s mode=low-latency recommended=3.00s status=ready ok
soak t=590s pos=597.66s latency=2.26s edge=-0.47s attach=2.74s mode=low-latency recommended=3.00s status=ready ok
soak t=595s pos=602.66s latency=2.26s edge=-0.41s attach=2.68s mode=low-latency recommended=3.00s status=ready ok
soak t=600s pos=607.66s latency=2.26s edge=-0.52s attach=2.79s mode=low-latency recommended=3.00s status=ready ok
SOAK PASS: 10min, 120 samples, mode low-latency (120/120 low-latency), median latency 2.26s = edge -0.47s + attach 2.74s, target 2.00s on attach, zero backward movement
soak end url=http://127.0.0.1:56693/live/party/index.m3u8 label=release-273-direct verdict=PASS
